epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.978,1.26848,2.06368,1.18596,0.87166,0.29267,0.59138,0.38549,1.21923,3.00209,1.05016,0.00054784,0.00054784,0.00054784
2,359.148,1.29624,1.39176,1.22162,0.78637,0.695,0.79928,0.48059,1.33973,1.79178,1.12501,0.0010853,0.0010853,0.0010853
3,537.28,1.31123,1.2019,1.22376,0.57714,0.83555,0.75659,0.41868,1.3483,1.92372,1.16592,0.00160442,0.00160442,0.00160442
4,716.205,1.29404,1.04329,1.2054,0.74783,0.76999,0.81357,0.47159,1.41,1.29052,1.16629,0.00158448,0.00158448,0.00158448
5,893.928,1.27672,0.91707,1.19093,0.533,0.88699,0.84096,0.45101,1.3919,1.58353,1.14845,0.00155698,0.00155698,0.00155698
6,1072.29,1.25091,0.85967,1.16644,0.59213,0.76045,0.82616,0.47928,1.32264,1.26481,1.08668,0.00152947,0.00152947,0.00152947
7,1250.15,1.21083,0.77688,1.15686,0.50205,0.89298,0.68444,0.37529,1.36312,2.17416,1.12531,0.00150197,0.00150197,0.00150197
8,1427.61,1.18482,0.71932,1.1377,0.90895,0.91105,0.91963,0.5633,1.24899,0.70285,1.06677,0.00147446,0.00147446,0.00147446
9,1605.46,1.16655,0.73112,1.14996,0.90559,0.90857,0.91243,0.56017,1.21384,0.69539,1.04217,0.00144696,0.00144696,0.00144696
10,1783.11,1.19326,0.72132,1.157,0.80438,0.76045,0.76835,0.45799,1.35677,0.98208,1.12392,0.00141945,0.00141945,0.00141945
11,1961.51,1.16364,0.68927,1.13467,0.46698,0.72648,0.49823,0.24967,1.61327,2.34424,1.34706,0.00139195,0.00139195,0.00139195
12,2139.95,1.15513,0.67863,1.13683,0.88157,0.90202,0.87536,0.53359,1.31427,0.69264,1.11975,0.00136444,0.00136444,0.00136444
13,2318.18,1.14067,0.65654,1.11883,0.60674,0.91449,0.80098,0.44998,1.34807,1.04735,1.10503,0.00133693,0.00133693,0.00133693
14,2497.6,1.13737,0.66246,1.13585,0.84017,0.89846,0.88052,0.55197,1.19483,0.65088,1.03628,0.00130943,0.00130943,0.00130943
15,2676.89,1.12907,0.63535,1.13224,0.86153,0.9231,0.90908,0.57305,1.18227,0.65582,1.03932,0.00128192,0.00128192,0.00128192
16,2855.03,1.14297,0.64671,1.12392,0.89858,0.91105,0.90552,0.5575,1.22454,0.6563,1.05618,0.00125442,0.00125442,0.00125442
17,3034.37,1.12151,0.63395,1.12391,0.76118,0.91707,0.92431,0.57008,1.23145,0.73513,1.06231,0.00122691,0.00122691,0.00122691
18,3212.38,1.10331,0.62423,1.11408,0.60744,0.90955,0.90003,0.56112,1.20673,0.91978,1.02912,0.00119941,0.00119941,0.00119941
19,3391.68,1.11623,0.63482,1.12022,0.90831,0.89639,0.89774,0.57095,1.16548,0.6147,1.01274,0.0011719,0.0011719,0.0011719
20,3570.39,1.08018,0.59481,1.10633,0.92762,0.91707,0.93392,0.5803,1.1651,0.58282,1.01841,0.0011444,0.0011444,0.0011444
21,3748.3,1.08559,0.59684,1.09943,0.94506,0.93514,0.91978,0.58088,1.17977,0.62916,1.02978,0.00111689,0.00111689,0.00111689
22,3926.7,1.10092,0.59926,1.1062,0.69984,0.85889,0.86203,0.54064,1.17009,0.69528,1.02896,0.00108938,0.00108938,0.00108938
23,4105.21,1.08832,0.58361,1.10767,0.8983,0.90573,0.90799,0.57047,1.22727,0.69213,1.041,0.00106188,0.00106188,0.00106188
24,4283.61,1.07675,0.59143,1.09579,0.9559,0.9468,0.94671,0.60466,1.17797,0.55465,1.03262,0.00103437,0.00103437,0.00103437
25,4461.67,1.06703,0.59337,1.10539,0.96024,0.94057,0.94502,0.59549,1.19641,0.57259,1.03324,0.00100687,0.00100687,0.00100687
26,4639.41,1.05948,0.57448,1.09584,0.95173,0.94046,0.942,0.6008,1.18317,0.55891,1.03107,0.000979362,0.000979362,0.000979362
27,4817.25,1.07088,0.58447,1.10792,0.94006,0.93584,0.94692,0.61426,1.16073,0.55452,1.01027,0.000951857,0.000951857,0.000951857
28,4994.92,1.06478,0.57394,1.09785,0.93224,0.93444,0.94342,0.61426,1.1772,0.57148,1.02055,0.000924352,0.000924352,0.000924352
29,5172.63,1.05632,0.57747,1.08949,0.91011,0.93444,0.93559,0.61285,1.15457,0.5368,1.02496,0.000896846,0.000896846,0.000896846
30,5351.18,1.03929,0.55843,1.07866,0.95875,0.94649,0.94557,0.62318,1.1545,0.52881,1.00991,0.00086934,0.00086934,0.00086934
31,5529.32,1.0326,0.5531,1.07869,0.95244,0.93444,0.93218,0.6009,1.17756,0.53813,1.02227,0.000841835,0.000841835,0.000841835
32,5707.67,1.06581,0.56041,1.08878,0.93319,0.93585,0.94488,0.60295,1.15495,0.54125,1.01089,0.000814329,0.000814329,0.000814329
33,5886.19,1.0401,0.55691,1.09186,0.85296,0.92589,0.94637,0.6032,1.15011,0.61969,1.01674,0.000786824,0.000786824,0.000786824
34,6065.07,1.05042,0.56039,1.09165,0.94153,0.94649,0.93922,0.62733,1.13964,0.53015,1.00464,0.000759318,0.000759318,0.000759318
35,6243.75,1.02042,0.53406,1.07435,0.94171,0.94649,0.94136,0.62588,1.13877,0.50859,1.00351,0.000731813,0.000731813,0.000731813
36,6422.13,1.02599,0.5369,1.07117,0.90667,0.93595,0.93502,0.61387,1.12302,0.50579,1.00415,0.000704307,0.000704307,0.000704307
37,6601.12,1.01481,0.54405,1.0697,0.93978,0.95153,0.94398,0.60626,1.15786,0.54478,1.01877,0.000676802,0.000676802,0.000676802
38,6778.62,1.00422,0.52453,1.0696,0.94047,0.94491,0.93548,0.6016,1.1503,0.52843,0.99885,0.000649297,0.000649297,0.000649297
39,6955.91,1.02029,0.53164,1.06898,0.92569,0.94611,0.94134,0.61934,1.12365,0.54511,1.00099,0.000621791,0.000621791,0.000621791
40,7133.9,1.02226,0.53304,1.07186,0.95746,0.94768,0.95319,0.60712,1.15311,0.51684,1.00907,0.000594286,0.000594286,0.000594286
41,7311.39,1.00648,0.52124,1.07316,0.94168,0.93989,0.94074,0.61882,1.13684,0.51376,1.00736,0.00056678,0.00056678,0.00056678
42,7488.39,1.0152,0.51566,1.0766,0.94497,0.9579,0.95176,0.61006,1.16913,0.52362,1.02699,0.000539275,0.000539275,0.000539275
43,7666.49,0.99719,0.52352,1.06941,0.95031,0.93444,0.94257,0.62752,1.11581,0.50173,0.98765,0.000511769,0.000511769,0.000511769
44,7844.59,0.98851,0.51383,1.05686,0.93082,0.94173,0.94451,0.6353,1.12662,0.49426,1.00176,0.000484263,0.000484263,0.000484263
45,8022.49,0.99846,0.51336,1.06255,0.95267,0.93783,0.94786,0.62382,1.12117,0.5058,0.99353,0.000456758,0.000456758,0.000456758
46,8200.79,0.97795,0.51346,1.05382,0.9467,0.95854,0.95186,0.63421,1.1481,0.51168,1.00229,0.000429253,0.000429253,0.000429253
47,8377.96,0.97525,0.50196,1.05502,0.94981,0.95854,0.94971,0.62541,1.13645,0.49356,0.99649,0.000401747,0.000401747,0.000401747
48,8556.11,0.98323,0.50624,1.05927,0.93958,0.95781,0.95236,0.63121,1.14508,0.4889,1.00313,0.000374242,0.000374242,0.000374242
49,8733.58,0.97561,0.49157,1.0595,0.95026,0.95157,0.94295,0.62591,1.13026,0.49599,0.99252,0.000346736,0.000346736,0.000346736
50,8911.78,0.96062,0.49291,1.05298,0.95171,0.95161,0.94577,0.60386,1.15945,0.50215,1.01876,0.000319231,0.000319231,0.000319231
51,9087.74,1.04522,0.49201,1.09143,0.93389,0.94117,0.94689,0.6326,1.11277,0.48847,0.99438,0.000291725,0.000291725,0.000291725
52,9265.23,1.03285,0.48544,1.07985,0.95617,0.93292,0.94421,0.62017,1.1364,0.49187,1.00866,0.00026422,0.00026422,0.00026422
53,9441.18,1.02728,0.4861,1.06796,0.96146,0.9412,0.94736,0.61944,1.12772,0.48845,1.00446,0.000236714,0.000236714,0.000236714
54,9618.44,1.01923,0.48341,1.07421,0.95167,0.94046,0.94538,0.62723,1.10849,0.47966,1.0029,0.000209209,0.000209209,0.000209209
55,9796.15,1.03079,0.48022,1.07479,0.95534,0.94385,0.95327,0.6451,1.10629,0.47375,1.00062,0.000181703,0.000181703,0.000181703
56,9973.66,1.02928,0.47692,1.07061,0.95431,0.94649,0.95327,0.64563,1.1102,0.47202,0.99985,0.000154198,0.000154198,0.000154198
57,10151.8,1.00507,0.47232,1.06457,0.96949,0.95791,0.96143,0.64634,1.11067,0.46089,0.99754,0.000126692,0.000126692,0.000126692
58,10328.4,1.002,0.46243,1.06433,0.96264,0.95074,0.95367,0.63967,1.1043,0.46138,0.99837,9.91865e-05,9.91865e-05,9.91865e-05
59,10506.5,1.00572,0.466,1.06682,0.95603,0.95251,0.95653,0.63936,1.11221,0.46043,0.99972,7.1681e-05,7.1681e-05,7.1681e-05
60,10682.9,0.99963,0.46378,1.06415,0.95195,0.95251,0.95527,0.63965,1.11014,0.46033,0.99952,4.41755e-05,4.41755e-05,4.41755e-05
